pid,ProductId,Post_Review,Platform,Rating,Date,Helpful,Label
72,B001E4KFG0,"What to say? My daughter LOVES him and I with her. Very soft, zero visible seams, tender and especially functional. It reproduces according to the choice of music, white noise, the sound of the Breath or heartbeat. Also the otter tummy lights up and moves as if breathing. For the newborn is a real comfort in the cradle, always kept in safety, I place it away from his face so that he can perceive it even just by touching it with his hand. Wonderful purchase, we are really happy!",Twitter,5,11-01-20,43,1
85,B00813GRG4,"I decided to test this plush to my grandson, just three years old. As soon as he saw it he was very happy and he exclaimed it was: ""Zia, it's very soft!"" Actually the plush is really soft to the touch and a real companion for the nights, of our children. The animal represented is a gray otter, a toy animal that is able to help children play and also relax, during the night and during the time they rest. This otter is able to emit vibrations that calm and relax the child, but also of music, very sweet. It is suitable for babies from 0 months up, let's say until 3-4 years of age. In any case, even if the kids get bigger, will remain his companion at night and play. An aspect that struck me, it was the fact of having used the sounds of nature, to relax and calm the little ones and I have to say that they really work. The sounds have a length of about half-hour. Our bright effects are also attractive in the AAA.",Facebook,5,09-10-22,36,1
107,B000LQOCH0,"An unusual pet, this otter is beautiful! Cute melodies, light in the tummy and fantastic ""breath"" mode.. I bought it to put it near my 2 month old baby when sleeps because he likes contact very much, it didn't work but we love it when wake up!!:) only flaws the price a little 'high even if much lower than the store",Amazon,5,08-12-22,2,1
109,B000UA0QIQ,"Beautiful, soft and very relaxing. It comes with behind (back) the keys you can select (-/+ for the volume, the notes for the type of music to select, the type of noise you want to put (heart beat, white noise etc, the belly moving or not, the light on or off).. all these keys are great and customizable depending on what the baby wants. My (10 months) is used to sleeping with the music box all night long and otter has a duration of 30 Min, but alas I wouldn't know if she might like it since she doesn't sleep absolutely with puppets.. but I can say that to this she has become fond of in a hurry (which is very strange).. we will see in the next nights if I can introduce her into the dwarfs!! Anyway recommended purchase, the only flaw is that 5.99 euro shipping is too much!!! At the end it costs less in the store!!",Flipcart,4,04-02-21,1,1
113,B006K2ZZ7K,"Plush tender, my 16-month-old loves it, sleeps hugged and cuddles him even when he wakes up. I put four stars because unfortunately, at least in my case, the mechanism that makes the belly of the puppet raise and lower emits an annoying hum. However, it remains effective in the function of the white noises and of the breath, that reconcile the sleep to my baby accompanying her towards a deep sleep and now is for her an indispensable companion! It does not do miracles, if sleeplessness or agitation are due to other ailments (e.g. identification) you have to intervene to solve those, but even in these cases the plush helps the child at least to relax and comfort, along with the cuddles of mom and dad, obviously!",Instagram,4,21-02-20,2,1
115,B006K2ZZ7K,"I love it, simply. I bought it after seeing it in a shop, I fell in love with it right away. Very soft and relaxing. The sounds are lovely and the heart movement is simply divine!!",Flipcart,5,12-11-22,3,1
116,B006K2ZZ7K,"Beautiful product, the only problem and that the puppet has little padding so you feel a lot the plastic of the internal machine. Despite that, my 2.5 year old adores it, and sleeps hugged every night.",Amazon,5,25-10-22,5,1
125,B006K2ZZ7K,"Perfect!! Relaxed very much my son of 4 months, it was a salvation especially to promote sleep and relieve a little the small problems of the teeth and colics. Before he slept only in his arms or anyway he had to feel my contact now I can relax because he relaxes also with this nice otter",Flipcart,5,07-08-20,2,1
138,B000E7L2R4,"The otter accompanies the dwarfs of my baby with its sweet melodies, much prettier than those of the music box that I had bought her. It is very soft and, if you put the breath mode, raises and lowers the belly.( the batteries with this mode are consumed at the speed of light though) Otherwise you can only put the music mode and set the volume. (the keys are behind the plush). It is easy to wash, just remove the envelope from the rigid inside through a zip.",Amazon,5,25-04-20,,1
146,B00171APVA,"Functional carillon, my 4 month old girl falls asleep listening to the melodies that play sweetly for 30 minutes. I find it useless everything else (breath and various sounds) and I don't know if maybe the light can serve later. The design is bad, this animal nn is not at all nice to see for the little ones, so much so that I had to make some changes (put a pink dress, add a bow in the head and create the eyes). The controls are inside the puppet and therefore not practical: if the baby sleeps awake with the noise of the tear that gives access to the various buttons. For what it is, it is really too expensive.",Facebook,2,23-11-20,,1
155,B0001PB9FE,A little expensive but my baby likes it to death. It has several sounds and the light on the tummy helps to make her fall asleep.Along with the rhythmic movement of the abdomen and the sound of the heart beating makes my baby fall asleep in no time... recommended!,Twitter,5,21-01-20,1,0
166,B0009XLVG0,"This plush is gorgeous!! I bought it for my 6-month-old to help him sleep alone. Actually the otter was literally kidnapped by my 2-year-old son. He fell in love with the belly that goes up and down and doesn't want to be without it anymore. The otter is fantastic easy to wash. Even the music adjustments, tummy light up and down are easy to set up. I'm really happy with the purchase.",Amazon,5,11-10-20,,1
172,B0009XLVG0,"The sounds (adjustable volume fortunately), the light on the tummy and the slow but continuous movement of the breath relax the child, so much so that he falls asleep even hugged!It is not very soft, at least not where there is the electronic part, but it is not dangerous.",Instagram,5,22-07-20,,1
194,B001GVISJM,"I loved this plush already from the photos and descriptions and when I received it confirmed my expectations! I took it for my baby of 5 months and when I never discovered it before!! The noises of the womb make him fall asleep practically immediately! The melodies are really relaxing, you can adjust the volume (and it is not a trivial thing) the tummy that moves is really nice to see! You can program the function (for example melody + light or breath + light...) that we want to make the baby listen and then just press the button on the belly and then goes on for 30 min then turns off. The only defect is that the buttons to change programming are behind and closed by a strap (safer method for the baby but equally noisy).. If there was a small zip of those missing would be better! For the rest the extra advice! Quality report - great price!",Flipcart,5,14-12-20,,1
195,B001GVISJM,"Wonderful in all this otter! Soft, even considering that it has a great deal inside, beautiful music, soft noises, nice face and cuddle... Perfect!",Amazon,5,16-11-22,2,1
199,B001GVISJM,"Puppet really cute. Various functions including heartbeat, breathing, relaxing music. Beautiful the function of the tummy that moves as if breathing. At the moment does not do the calming effect hoped for for my baby girl (maybe she is too small having only 7months) but I hope for the future.",Flipcart,4,10-11-20,,1
201,B001GVISJM,"Fantastic, various music and white noises including a nice sound of snoring and heartbeat, has a light on the sandwich that lights up, and the sandwich simulates the movement of the breath, recommended",Amazon,5,20-10-20,1,1
229,B001GVISJM,"Beautiful, soft, great audio, the case sounds good. Sweet melodies, heartbeat sounds and very relaxing breathing. Beautiful also the bed-shaped packaging. The electronics are easily removed to wash the plush. Batteries included. Very recommended as a gift.",Facebook,5,28-11-20,,1
235,B001GVISJM,"Soft plush with relaxing music. Very useful. The tummy moves up and down, almost like the melt of a cat. Easy to wash in the washing machine, after removing the internal mechanism. Put also in the dryer.Two defects... the mechanism inside, easily removable, is very heavy, and needs 4 batteries that are discharged quite quickly.",Twitter,5,10-12-22,,1
237,B001GVISJM,"Cute and useful for the bed, we use it x sleep it when the repertoire of lullaby runs out! Once asleep we leave it on in the cradle so as to limit the awakenings.. It turns off alone after a half hour.use little the functions breath and light, colors a little off, from awake nn attract a lot x play.",Instagram,4,07-02-21,,1
243,B001GVISJM,"I bought it for my grandson who is now two and a half months old. When I took it he was just 10 days old and maybe he was too young to appreciate it. Instead, starting from the second month we put him close to him with the music and he falls asleep or calms down or stays awake but entertains him. I think it's a great game even when he will be a little bigger. Now he only listens to all the sounds that the otter transmits, maybe more there will also appreciate the fact that the new belly and the light on.",Flipcart,5,19-09-20,,1
244,B001GVISJM,"My little 6 months old hugs her while she sleeps!... she washes quietly in the washing machine and even the batteries can be changed not as I read in another review.. it's very nice, a little rumorous when she breathes, but it's really sweet",Amazon,5,19-08-20,,1
251,B001GVISJM,Well finished product and pleasant to the touch. The movement that simulates breathing calms the child.,Flipcart,5,21-10-22,2,1
258,B001GVISJM,It's really nice and soft. It's useful to raise and lower the volume according to your needs and to be able to select the function that one prefers at the moment. The only small defect is the fact that it's a bit noisy the movement that reproduces the breath.It's a purchase that I recommend.,Amazon,4,26-01-20,,1
269,B001GVISJM,"Plush very cuddly, if you press the tummy you turn on the soft light and start automatically the relaxing music rotating together with the breath. Behind the back there is a pocket where you can set the volume, the music, the white noises and the mechanical breathing.",Facebook,5,25-09-20,,1
272,B001GVISJM,"Wonderful this very soft otter, which I gave to my niece who is about to be born. To tell the truth I wanted to keep it, from so much it is adorable and with all the beautiful sounds it emits. Very satisfied and advice!",Twitter,5,01-02-20,,1
277,B001GVISJM,Very sweet and tender otter!!My three-month-old adores her..just part the lullaby falls asleep.Miscellaneous functions all useful and beautiful and with volume adjustmentVery fast shipping,Instagram,5,12-07-20,,1
284,B001GVISJM,"It's very nice and soft... but in my opinion it's not worth the price, it doesn't do so many things as I expected and it's also a bit noisy..But it's nice the idea..My son of 6 months doesn't consider it much unfortunately",Flipcart,3,16-01-20,,1
285,B00144C10S,Very nice as from previous descriptions. piles already inserted. but since in the package is indicated 30' of music and qs after only 2 breaths turns off.... there is something wrong!,Amazon,3,04-12-22,3,0
286,B0001PB9FY,"One of the most successful purchases, Ettore is literally in love with it. We use it mainly in the evening when we have to put him to bed... music is also great for adults",Flipcart,5,05-01-20,,0
318,B003F6UO7K,"A product dearly beautiful my one-year-old loves it with white noise and falls asleep, my son of 4 is terrified when he sees him breathing",Amazon,4,12-01-21,,1
325,B003F6UO7K,"Beautiful! As already told by others, mechanism a bit 'too heavy... But remains a purchase more than right! My baby falls asleep that is a pleasure! (Translated with Google Translate)",Facebook,5,03-11-20,,1
333,B001EO5QW8,"She is beautiful, tender, it was for a gift but my girls begged me to keep her.... Truly pretty... And the fact that she gives the impression that she's breathing has, charm...",Twitter,5,13-01-21,,1
359,B001EO5QW8,"The adoroooo!! Very beautiful really and very easy to clean, very tender when ""breathing"" and the tummy gets up and gets down. I put it next to my son of 3 months sleeping and his sleep seems to be more serene. Recommended!",Instagram,5,26-12-22,,1
364,B001EO5QW8,"After 6 months of use, I confirm that my son loves him! He really helped me in the first few months because he helped him sleep.",Flipcart,5,07-03-21,,1
369,B001EO5QW8,"We bought the little otter for the granddaughter of dear friends, who live far away from us. Therefore making it deliver was the best solution. It loved it and the photos of the little one hugged to the otter are delicious",Amazon,5,10-08-20,,1
372,B001EO5QW8,"My baby loves the movement of her breath, and the light from her tummy, and it's really soft, and I can't find any flaws.",Flipcart,5,12-02-20,,1
382,B001EO5QW8,after only 2 months the mechanism that mimics the breath has broken.sin was a good product but given the duration and the price I do not recommend it.,Amazon,1,08-02-20,1,1
385,B001EO5QW8,"The otter is very nice, and soft... It has many functions, in addition to raising and lowering the sandwich that lights up, it has the noise of the heartbeat, blood flow, breath!!!!",Facebook,5,30-01-20,,0
387,B001EO5QW8,"Very tender toy, my baby appreciates it. Maybe a little hard to sleep in, but it's so cute that it's okay anyway.",Twitter,5,19-12-22,,1
389,B001EO5QW8,He's become one of the favorites of the human puppy he's been given to.,Flipcart,5,10-11-22,1,1
393,B001EO5QW8,Unfortunately I had to make the return for product not working.,Amazon,2,11-11-22,1,1
394,B001EO5QW8,"Very nice, soft and excellent workmanshipPeccato for the mechanism with the battery compartment that is disproportionately too large and makes the back of the plush hard and overall the object too heavy",Facebook,3,03-04-20,,0
395,B001EO5QW8,"Unfortunately after a month and a half of use it stopped working, it didn't cost little so I didn't expect it to last so little... the time for the return had expired and therefore money wasted.",Twitter,2,06-10-20,,0
399,B001EO5QW8,"Gift for my 5 month old boy... beautiful, for the routine of the bed I light the otter before bed and he relaxes a lot.The movement of the breath is well done, music and beautiful white sounds.I would definitely buy it back",Amazon,5,30-12-22,,0
416,B001EO5QW8,"What to say, plush to say the least perfect. My son goes crazy, very relaxing with sounds and movements all disable from the back plush. What very useful is that you can remove the electric part and wash it!!",Instagram,5,24-03-20,,1
422,B001EO5QW8,"For my 5-month-old granddaughter, I couldn't choose a better gift, and for parents a great relief because it really facilitates rest.",Flipcart,5,09-01-20,,1
428,B001EO5QW8,"Beautiful, combines sleep, beautiful and soft melodies. My baby loves it. 5 stars deserved.",Amazon,5,03-11-20,,1
439,B001EO5QW8,"my little girl loved the first 2/3"" months of life, the functionality of breath and fantastic heartbeat to reproduce the noises of the mother's womb",Flipcart,5,01-05-20,,1
445,B001EO5QW8,"Arrived one day in advance, all well produced very nice thanks amazon for your punctuality",Amazon,5,10-12-20,,1
455,B001EO5QW8,The plush is beautiful really realistic the movement of the breath and even the sounds are really nice Highly recommended,Facebook,5,17-11-20,,1
464,B000G6RPMY,"It looks like a real animal... the breath, the movement of the belly and that slight trembling makes it look like a real animal... very relaxing we liked a lot",Twitter,5,07-01-20,,1
474,B000G6RPMY,Fischer price doesn't miss a shot..safe and soft material.. great to calm my daughters. If I find a defect is slightly heavy but otherwise it is fabulous,Instagram,4,18-12-20,,1
481,B000G6RPMY,Really a nice product. Excellent quality and well working! My little one likes it very much!,Flipcart,5,02-04-20,,1
482,B002GWHC0G,"My newborn daughter of 4 months goes crazy, has various functions, from the tummy that lights up, to the effect of the breath, of the lullaby. I really like that it is easily washable in the washing machine and it is really soft and cuddly as a play.",Amazon,4,27-12-22,,1
534,B002GWHC0G,"Very nice plush, soft and relaxing for a baby.",Flipcart,5,15-10-20,,1
554,B004N5KULM,"Otter taken for my two-month-old daughter, but the one-year-old sister fell in love with her and now she always wants her, because the melody that emits the emotion",Amazon,5,12-11-20,,1
565,B004N5KULM,Gift to my 1 month grandson sweet sound helps him sleep,Facebook,5,17-02-20,,1
625,B004N5KULM,"Fast shipping, sweet, tender and interesting",Twitter,5,26-12-22,,1
634,B004N5KULM,It was a very appreciated gift,Instagram,4,24-08-20,,1
644,B004N5KULM,cute done well to the child and liked,Flipcart,5,20-02-20,,1
661,B004N5KULM,Indispensable for bed. The puppy falls asleep faster. Highly recommended.,Amazon,5,19-01-21,,1
671,B001EO5TPM,Beautiful tender and with a melody of 30 minutes that relaxes my daughter excellently,Flipcart,5,06-02-21,,1
713,B005DUM9UQ,My baby loves him.. he's a month old but he's already his best friend!,Amazon,5,28-02-21,,1
743,B005DUM9UQ,Great.,Facebook,5,06-08-20,,1
752,B005DUM9UQ,I am satisfied with the purchase I would recommend.,Twitter,5,25-12-22,,1
803,B005DUM9UQ,Product valid to my child likes it very relaxing and is very soft,Instagram,5,06-08-20,,1
816,B005DUM9UQ,Beautiful an article very well done and of which the children will fall in love as soon as they hold her.,Flipcart,5,19-12-22,,1
818,B000E7VI7S,My son had fallen in love with it.,Amazon,3,19-10-20,,1
836,B000E7VI7S,Beautiful!! Very soft plush is satisfied,Flipcart,5,30-11-22,,0
846,B001GVISJC,Great plush to help you sleep and easy to clean.,Amazon,5,26-12-22,,1
863,B001GVISJC,I bought this toy for my grandson. I can only say it's wonderful!!,Flipcart,5,26-11-22,,1
